"as_of_date","borrower_contract_reference_number","borrower_country","borrower_country_code","contract_description","contract_signing_date","fiscal_year","major_sector","procurement_category","procurement_method","procurement_type","product_line","project_id","project_name","region","supplier","supplier_contract_amount_usd","supplier_country","supplier_country_code","wb_contract_number"
"2018-04-10T00:00:00.000","MARCHÃÂ° NÃÂº 001/CE/UI-PUASE","Guinea-Bissau","GW","REALISATION DE LÃ¢â¬â¢AUDIT EXTERNE DES ETATS 
FINANCIERS","2017-03-09T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Quality And Cost-Based Selection","Audit Services","IBRD/IDA","P148797","FY14-GB Emergency Wat & Elec Serv","AFRICA","BUREAU D’EXPERTISE COMPTABLE ET DE COM","32595.44","Togo","TG","1546209"
"2018-04-10T00:00:00.000","NO. 11/CDP/PEQPESU/ESU/2017","Congo, Democrat","ZR","CONTRAT DE PERFORMANCE DE L INSTITUT FACULTAIRE DE YANGAMBI
","2017-09-22T00:00:00.000","2017","Education","CONSULTANT SERVICES","Single Source Selection","Education Services","IBRD/IDA","P149233","DRC Qual. & Relevance Sec.& Tertiary edu","AFRICA","IFA YANGAMBI","4308346.8","Congo, Democrat","ZR","1550354"
"2018-04-10T00:00:00.000","MOE/GEQIP-2/ICB/G-63/15","Ethiopia","ET","Printing and Distribution of Grade G1-8 Adapted Mother Tongu","2017-06-30T00:00:00.000","2017","Education","GOODS","Request for Bids","Not assigned","IBRD/IDA","P129828","ET GEQIP II","AFRICA","PITAMBRA BOOKS PVT LTD","1641211.32","India","IN","1547941"
"2018-04-10T00:00:00.000","28/SP-OHADA/PACI/2016","Africa","3A","MISE A DISPOSITION DE DEUX COLLABORATEURS A LA CCJA ET A L E","2016-07-01T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Fixed Budget Selection","Management /Technical Advice","IBRD/IDA","P126663","Improved Invest Climate within OHADA","AFRICA","CABINET DELOITTE","77119.17","Cote d'Ivoire","CI","1542018"
"2018-04-10T00:00:00.000","NO. 064/MITP/CI/PRO-ROUTES/2016","Congo, Democrat","ZR","CONTRAT DE CONTRACTUEL POUR PRESTATION DE SERVICES AU POSTE","2016-07-01T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Project Management","IBRD/IDA","P101745","High Priority Reopening & Maintenance","AFRICA","ANGE MUSHIGO VELU","40400.00","Congo, Democrat","ZR","1542047"
"2018-04-10T00:00:00.000","NO. 061/MITP/CI/PRO-ROUTES/2016","Congo, Democrat","ZR","CONTRAT DE CONTRACTUEL POUR LES PRESTATIONS DE SERVICES AU P","2016-07-01T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Project Management","IBRD/IDA","P101745","High Priority Reopening & Maintenance","AFRICA","JEAN-JACQUES MAKUNZA","53800.00","Congo, Democrat","ZR","1542129"
"2018-04-10T00:00:00.000","056/MITP/CI/PROROUTES/2016","Congo, Democrat","ZR","Contrat de Contractuel pour prestation de services au poste","2016-07-01T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Project Management","IBRD/IDA","P101745","High Priority Reopening & Maintenance","AFRICA","AIME KABAMBA NZUM","68400.00","Congo, Democrat","ZR","1545241"
"2018-04-10T00:00:00.000","PIU/HSSP: 04/2016 TA","Liberia","LR","Provision of Consulting Services as: Specialist Physician (S","2016-07-01T00:00:00.000","2017","Education","CONSULTANT SERVICES","Single Source Selection","Health Services","IBRD/IDA","P128909","LR-Health Systems Strengthening (FY13)","AFRICA","PATRICK OKAO","256528.00","Uganda","UG","1544113"
"2018-04-10T00:00:00.000","PIU/HSSP: 08/2016 TA","Liberia","LR","Provision of Consulting Services as: Specialist Physician (S","2016-07-01T00:00:00.000","2017","Education","CONSULTANT SERVICES","Single Source Selection","Health Services","IBRD/IDA","P128909","LR-Health Systems Strengthening (FY13)","AFRICA","ATEM GEU","256528.00","Canada","CA","1544163"
"2018-04-10T00:00:00.000","PIU/HSSP: 07/2016 TA","Liberia","LR","Provision of Consulting Services as: Specialist Physician (I","2016-07-01T00:00:00.000","2017","(H)Health & social","CONSULTANT SERVICES","Single Source Selection","Institution building","IBRD/IDA","P128909","LR-Health Systems Strengthening (FY13)","AFRICA","CHRISTOPHER BABUA","110612.00","Uganda","UG","1541772"
"2018-04-10T00:00:00.000","PIU/HSSP: 06/2016 TA","Liberia","LR","For the provision of consulting services as: Specialist Phys","2016-07-01T00:00:00.000","2017","(H)Health & social","CONSULTANT SERVICES","Single Source Selection","Institution building","IBRD/IDA","P128909","LR-Health Systems Strengthening (FY13)","AFRICA","ENDALE TEFERA","128264.00","Ethiopia","ET","1541787"
